NRA,NOMBRE,SCIAN,DESC_SCIAN,SECTOR,SUBSECTOR,ACTIVIDAD,PARQ_ IND,COORD_UTMX,COORD_UTMY,LAT_NORTE,lat1,lat2,lat3,lat,LON_OESTE,lon1,lon2,lon3,lon,CALLE,NUM_EXT,NUM_INT,COLONIA,LOCALIDAD,ESTADO,MUNICIPIO,CP
PRH1503300333,"POLI RESINASHUTTENES ALBERTUS S.A. DE C.V.,POLI RESINAS HUTTENES ALBERTUS, S.A. DE C.V.",325211,Fabricación de resinas sintéticas,Quimica,Produccion de resinas sinteticas,FABRICACIÓN DE RESINAS,,492567.9497,2159136.339,"19°31'37""",19,31,37,19.52694444,"99°4'15""",99,4,15,-99.07083333,Calle PLOMO,50, ,Colonia ESFUERZO NACIONAL,ECATEPEC DE MORELOS,MEXICO,Ecatepec de Morelos,55320
PRI2A1506211,"Productos Rich, S.A. de C.V.,",311811,Panificación industrial,Alimenticio y/o de consumo humano,Panaderias,"Elaboración de panes, pasteles y cremas",,448653.0681,2131802.755,"19°16'45""",19,16,45,19.27916667,"99°29'19""",99,29,19,-99.48861111,Calle KM.0.5 CARR. AMOMOLULCO SANTIAGO TIANGUI,S/N , ,Colonia PARQUE INDUSTRIAL OCOYOACAC,OCOYOACAC,MEXICO,Ocoyoacac,52740
PRMQF0503011,"PRECISION RESOURCE MÉXICO S. DE R.L. DE C.V.,PRECISION RESOURCE S. DE R.L. DE C.V.",332810,Recubrimientos y terminados metálicos,Quimica,Galvanoplastia,Fabricación de productos metálicos,,306937.522,2815138.588,"25°26'26""",25,26,26,25.44055556,"100°55'11""",100,55,11,-100.9197222,Calle CARR. ANTIGUA ARTEAGA,2603, ,Colonia LA AURORA,SALTILLO,COAHUILA,Saltillo,25298
PRM6T0502711,"PRODUCCIÓN RHI MÉXICO S. DE R.L DE C.V,RHI-AG",327123,Fabricación de productos refractarios,Vidrio,"Produccion de vidrio plano, liso y labrado",Fabricación de ladrillo y especialidades refractarias,,303691.2057,2824461.556,"25°31'27""",25,31,27,25.52416667,"100°57'12""",100,57,12,-100.9533333,Calle BLVD. MIGUEL RAMOS ARIZPE,126 SUR , ,Colonia PARQUE INDUSTRIAL RAMOS ARIZPE,RAMOS ARIZPE,COAHUILA,Ramos Arizpe,25900
PROMB2201111,"PROVISTA, S.A. DE C.V.,",325999,Fabricación de otros productos químicos,Quimica,Produccion de substancias quimicas a partir de mezclas ,"PRODUCCIÓN DE SUSTANCIAS QUIMICAS CUANDO EXISTE REACCIÓN QUIMICA, EXCLUYE MEZCLAS SIN REAC",,368782.0062,2282901.149,"20°38'26""",20,38,26,20.64055556,"100°15'34""",100,15,34,-100.2594444,Avenida AV. DE LA CRUZ,28, A,Colonia FRACC. AGROINDUSTRIAL LACRUZ,JESUS MARIA,QUERETARO,El Marques,76240
PROMP1510611,"PRONUMEX S. DE R.L. DE C.V.,Kellogg",311230,Elaboración de cereales para el desayuno,Alimenticio y/o de consumo humano,Produccion de cereales,Producción de alimentos,Parque industrial San Cayetano,424694.5322,2147144.076,"19°25'1""",19,25,1,19.41694444,"99°43'2""",99,43,2,-99.71722222,Carretera Carretara Atlacomulco Libre KM 1.5,Lote 13 , ,,TOLUCA DE LERDO,MEXICO,Toluca,50200
PRO1510600289,"Productos Roche S.A. de C.V.,",325412,Fabricación de preparaciones farmacéuticas,Quimica,Produccion de farmaceuticos y medicamentos,Fabricación de productos farmaceuticos y medicamentos para consumo humano,,430023.6321,2138111.837,"19°20'8""",19,20,8,19.33555556,"99°39'58""",99,39,58,-99.66611111,Avenida ISIDRO FABELA NORTE,1536,A ,Colonia SANTA CRUZ ATZCAPOTZALTONGO,TOLUCA DE LERDO,MEXICO,Toluca,50290
PRO2300500445,"PROCUREKA S.A. de C.V.,Seadust Cancún Family Resort",721111,Hoteles con otros servicios integrados,Otros,Servicios de Hotel,Servicio de Alojamiento Temporal,,522795.867,2329858.671,"21°4'10""",21,4,10,21.06944444,"86°46'50""",86,46,50,-86.78055556,Boulevard KUKULCAN KM 17,MZ 53 ,LT 52-04 ,Fraccionamiento Zona Hotelera,CANCUN,QUINTANA ROO,Benito Juarez,77500
PRO361510611,"PROPIMEX, S. DE R.L. DE C.V.,COCA COLA FEMSA PLANTA TOLUCA",312111,Elaboración de refrescos y otras bebidas no alcohólicas,Bebidas y tabaco,Produccion de refrescos,ELABORACIÓN DE BEBIDAS,,437331.3091,2133829.117,"19°17'50""",19,17,50,19.29722222,"99°35'47""",99,35,47,-99.59638889,Calle CUAHUTEMOC,102, ,Colonia FRACCIONAMIENTO OLIMPICO TOLUCA,TOLUCA DE LERDO,MEXICO,Toluca,50071
PRO361512111,"PROPIMEX, S. DE R.L. DE C.V.,COCA COLA FEMSA PLANTA CUAUTITLAN",312111,Elaboración de refrescos y otras bebidas no alcohólicas,Bebidas y tabaco,Produccion de refrescos,PRODUCCIÓN Y EMBOTELLADO DE BEBIDAS NO ALCOHÓLICAS CARBONATADAS Y NO CARBONATADAS ,,480498.358,2172695.68,"19°38'57""",19,38,57,19.64916667,"99°11'9""",99,11,9,-99.18583333,Calle AV. HENRY FORD,NO.2 , ,Colonia COMPLEJO INDUSTRIAL CUAMATLA,CUAUTITLAN IZCALLI,MEXICO,Cuautitlan Izcalli,54730
