NRA,NOMBRE,SECTOR,ESTADO,MUNICIPIO,SUSTANCIA,UNIDAD,AIRE,AGUA,SUELO,REUTILIZACION,RECICLADO,COPROCESAMIENTO,TRATAMIENTO,DISP_FINAL,ALCANTARILLADO,INCINERACION,OTROS,Comp_or_persist,Gases_Efecto_Invern,Hidrocarb_arom_y_alif,Metales,Organohalogenados,Sust_agot_del_ozono,Plaguicidas,Otras_sust_peligr,GRUPO
MMC141003211,MINERA MEXICANA LA CIENEGA SA DE CV. MINERA MEXICANA LA CIENEGA S.A. DE C.V.,Metalurgica (incluye la siderurgica),DURANGO,Santiago Papasquiaro,Plomo (compuestos),Kg,0,0,0,0,4308.85,0,0,0,0,0,0,,,,1,,,,,Metales
MMC141003211,MINERA MEXICANA LA CIENEGA SA DE CV. MINERA MEXICANA LA CIENEGA S.A. DE C.V.,Metalurgica (incluye la siderurgica),DURANGO,Santiago Papasquiaro,Bioxido de carbono,Kg,690136.7,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
MMEMV2402811,MIDORI AUTO LEATHER MEXICANA S.A. DE C.V. . ,Automotriz,SAN LUIS POTOSI,San Luis Potosi,Arsenico (compuestos),Kg,0,0,0,0,0,0,0,0,0,0,3.8,,,,1,,,,,Metales
MMEMV2402811,MIDORI AUTO LEATHER MEXICANA S.A. DE C.V. . ,Automotriz,SAN LUIS POTOSI,San Luis Potosi,Niquel (compuestos),Kg,0,0,0,0,0,0,0,0,0,0,1.1,,,,1,,,,,Metales
MMEM10400311,MARINSA DE MEXICO.  S.A. DE C.V.. ,Metalurgica (incluye la siderurgica),CAMPECHE,Carmen,Cromo (compuestos),Kg,0,3.7,0,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MMEM10400311,MARINSA DE MEXICO.  S.A. DE C.V.. ,Metalurgica (incluye la siderurgica),CAMPECHE,Carmen,Niquel (compuestos),Kg,0,5.4938,0,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MMEM10400311,MARINSA DE MEXICO.  S.A. DE C.V.. ,Metalurgica (incluye la siderurgica),CAMPECHE,Carmen,Plomo (compuestos),Kg,0,4.4562,0,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MME0200400092,MULTIWIN DE MEXICO SA DE CV. ,Automotriz,BAJA CALIFORNIA,Tijuana,Xileno (mezcla de isomeros),Kg,0,0,0,0,0,0,0,2267.96,0,0,0,,,1,,,,,,Hidrocarburos Aromaticos y Alifaticos
MME0200400092,MULTIWIN DE MEXICO SA DE CV. ,Automotriz,BAJA CALIFORNIA,Tijuana,Tricloroetileno,Kg,0,0,0,0,0,0,0,14741.74,0,0,0,,,,,1,,,,Organohalogenados
MME0502700009,Metokote de Mexico S. de R.L de C.V. Metokote de Mexico S. de R.L. PLANTA 1,Otros,COAHUILA,Ramos Arizpe,Cromo (compuestos),Kg,0,0,0,0,0,0,0,0,0,0,4.3453,,,,1,,,,,Metales
MME0502700009,Metokote de Mexico S. de R.L de C.V. Metokote de Mexico S. de R.L. PLANTA 1,Otros,COAHUILA,Ramos Arizpe,Mercurio (compuestos),Kg,0,0,0,0,0,0,0,0,0,0,4.7232,,,,1,,,,,Metales
MME0502700009,Metokote de Mexico S. de R.L de C.V. Metokote de Mexico S. de R.L. PLANTA 1,Otros,COAHUILA,Ramos Arizpe,Niquel (compuestos),Kg,0,0,0,0,0,0,0,0,0,0,43.4534,,,,1,,,,,Metales
MME0502700009,Metokote de Mexico S. de R.L de C.V. Metokote de Mexico S. de R.L. PLANTA 1,Otros,COAHUILA,Ramos Arizpe,Plomo (compuestos),Kg,0,0,0,0,0,0,0,0,0,0,11.808,,,,1,,,,,Metales
MME0901200316,MINALUM DE MEXICO.  S.A. DE C.V.. ,Metalurgica (incluye la siderurgica),DISTRITO FEDERAL,Tlalpan,Bioxido de carbono,Kg,222590,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
MME1900600164,MARUEI DE MEXICO S.A. DE C.V.. MARUEI DE MEXICO S.A DE C.V. ,Articulos y productos metalicos,NUEVO LEON,Apodaca,Cromo (compuestos),Kg,0,0.62,0,0,0,0,0,0,0.62,0,0,,,,1,,,,,Metales
